年月,銀行,銀行英文,全行外匯活期存款,全行外匯定期存款,全行總額,國內外匯活期存款,國內外匯定期存款,國內總額,海外外匯活期存款,海外外匯定期存款,海外總額,金控註記
9708,京城商業銀行,,1236000000,2307000000,3543000000,1022000000,2101000000,3123000000,214000000,206000000,420000000,0
9708,臺灣工業銀行,,670000000,7324000000,7994000000,526000000,4278000000,4804000000,144000000,3046000000,3190000000,0
9708,臺中商業銀行,,3496000000,4952000000,8449000000,2751000000,4202000000,6953000000,745000000,750000000,1496000000,0
9708,臺灣中小企業銀行,,31448000000,49363000000,80811000000,21006000000,33345000000,54350000000,10442000000,16018000000,26461000000,0
9708,彰化商業銀行,,51336000000,103415000000,154751000000,32692000000,61641000000,94333000000,18644000000,41774000000,60418000000,0
9708,中華商業銀行,,0,0,0,0,0,0,0,0,0,0
9708,稻江商業銀行,,0,0,0,0,0,0,0,0,0,0
9708,台北富邦銀行,,39671000000,93834000000,133505000000,34464000000,79582000000,114047000000,5207000000,14252000000,19458000000,1
9708,臺灣土地銀行,,11579000000,50031000000,61610000000,9711000000,36112000000,45823000000,1868000000,13919000000,15787000000,1
9708,華泰商業銀行,,479000000,1288000000,1767000000,469000000,1129000000,1598000000,10000000,159000000,169000000,0
9708,花旗,,17549000000,23714000000,41263000000,9153000000,13891000000,23044000000,8396000000,9823000000,18219000000,0
9708,安泰商業銀行,,3600000000,9780000000,13380000000,3018000000,8441000000,11459000000,582000000,1339000000,1921000000,0
9708,臺灣新光商業銀行,,2525000000,13796000000,16321000000,2326000000,12292000000,14618000000,199000000,1504000000,1703000000,1
9708,聯邦商業銀行,,5129000000,18738000000,23867000000,3914000000,14728000000,18643000000,1215000000,4010000000,5224000000,0
9708,遠東國際商業銀行,,6833000000,47344000000,54177000000,5036000000,15140000000,20176000000,1797000000,32204000000,34001000000,0
9708,永豐商業銀行,,50595000000,90582000000,141177000000,24860000000,38588000000,63448000000,25735000000,51994000000,77729000000,1
9708,三信商業銀行,,165000000,925000000,1090000000,132000000,885000000,1017000000,33000000,40000000,73000000,0
9708,板信商業銀行,,1572000000,4486000000,6057000000,1310000000,3535000000,4845000000,262000000,951000000,1212000000,0
9708,元大商業銀行,,6299000000,15313000000,21612000000,4744000000,11830000000,16575000000,1555000000,3483000000,5037000000,1
9708,花蓮區中小企業銀行,,0,0,0,0,0,0,0,0,0,0
9708,外國銀行在台分行,,228401000000,270835000000,499237000000,160532000000,139039000000,299571000000,67869000000,131796000000,199666000000,0
9708,第一商業銀行,,76295000000,164144000000,240439000000,46769000000,99591000000,146360000000,29526000000,64553000000,94079000000,1
9708,國泰世華商業銀行,,28948000000,72025000000,100973000000,22524000000,45832000000,68356000000,6424000000,26193000000,32617000000,1
9708,華南商業銀行,,81125000000,128289000000,209414000000,56239000000,86763000000,143002000000,24886000000,41526000000,66412000000,1
9708,中國信託商業銀行,,87692000000,163801000000,251494000000,45583000000,71052000000,116635000000,42109000000,92749000000,134859000000,1
9708,寶華商業銀行,,0,0,0,0,0,0,0,0,0,0
9708,台新國際商業銀行,,33334000000,95968000000,129302000000,21918000000,60930000000,82848000000,11416000000,35038000000,46454000000,1
9708,慶豐商業銀行,,1731000000,3150000000,4881000000,410000000,1531000000,1942000000,1321000000,1619000000,2939000000,0
9708,大眾商業銀行,,11576000000,14539000000,26115000000,8757000000,8706000000,17463000000,2819000000,5833000000,8652000000,0
9708,玉山商業銀行,,23720000000,52942000000,76662000000,15248000000,36040000000,51288000000,8472000000,16902000000,25374000000,1
9708,合作金庫商業銀行,,32904000000,98667000000,131570000000,26114000000,78646000000,104760000000,6790000000,20021000000,26810000000,0
9708,中華開發工業銀行,,2340000000,15358000000,17698000000,1106000000,4012000000,5118000000,1234000000,11346000000,12580000000,1
9708,兆豐國際商業銀行,,149688000000,325998000000,475685000000,73695000000,135261000000,208956000000,75993000000,190737000000,266729000000,1
9708,陽信商業銀行,,1436000000,4989000000,6425000000,1256000000,4753000000,6008000000,180000000,236000000,417000000,0
9708,高雄銀行,,2135000000,4810000000,6946000000,1824000000,3703000000,5527000000,311000000,1107000000,1419000000,0
9708,臺東區中小企業銀行,,0,0,0,0,0,0,0,0,0,0
9708,萬泰商業銀行,,1728000000,2199000000,3927000000,1559000000,2186000000,3745000000,169000000,13000000,182000000,0
9708,日盛國際商業銀行,,5458000000,9010000000,14467000000,4536000000,7435000000,11972000000,922000000,1575000000,2495000000,1
9708,上海商業儲蓄銀行,,44612000000,84133000000,128746000000,17612000000,34232000000,51844000000,27000000000,49901000000,76902000000,0
9708,臺灣銀行,,55968000000,269795000000,325762000000,45324000000,233265000000,278589000000,10644000000,36530000000,47173000000,1
9708,中國輸出入銀行,,0,0,0,0,0,0,0,0,0,1
9708,渣打國際商業銀行,,38629000000,26116000000,64745000000,35402000000,20352000000,55754000000,3227000000,5764000000,8991000000,0
