年,月,日,買進,賣出
2006,1,2,32.76,32.86
2006,1,3,32.59,32.69
2006,1,4,32.35,32.45
2006,1,5,31.96,32.06
2006,1,6,32.14,32.24
2006,1,9,31.9,32.0
2006,1,10,31.97,32.07
2006,1,11,32.02,32.12
2006,1,12,31.83,31.93
2006,1,13,31.94,32.04
2006,1,16,31.88,31.98
2006,1,17,31.95,32.05
2006,1,18,32.07,32.17
2006,1,19,32.09,32.19
2006,1,20,32.07,32.17
2006,1,23,31.93,32.03
2006,1,24,31.93,32.03
2006,1,25,31.92,32.02
2006,1,26,31.92,32.02
2006,1,27,31.93,32.03
2006,2,3,32.04,32.14
2006,2,6,32.04,32.14
2006,2,7,32.18,32.28
2006,2,8,32.3,32.4
2006,2,9,32.37,32.47
2006,2,10,32.21,32.31
2006,2,13,32.32,32.42
2006,2,14,32.25,32.35
2006,2,15,32.3,32.4
2006,2,16,32.35,32.45
2006,2,17,32.34,32.44
2006,2,20,32.35,32.45
2006,2,21,32.43,32.53
2006,2,22,32.6,32.7
2006,2,23,32.52,32.62
2006,2,24,32.44,32.54
2006,2,27,32.4,32.5
2006,3,1,32.23,32.33
2006,3,2,32.26,32.36
2006,3,3,32.35,32.45
2006,3,6,32.42,32.52
2006,3,7,32.47,32.57
2006,3,8,32.48,32.58
2006,3,9,32.47,32.57
2006,3,10,32.46,32.56
2006,3,13,32.45,32.55
2006,3,14,32.38,32.48
2006,3,15,32.35,32.45
2006,3,16,32.39,32.49
2006,3,17,32.38,32.48
2006,3,20,32.38,32.48
2006,3,21,32.45,32.55
2006,3,22,32.51,32.61
2006,3,23,32.53,32.63
2006,3,24,32.62,32.72
2006,3,27,32.52,32.62
2006,3,28,32.53,32.63
2006,3,29,32.55,32.65
2006,3,30,32.49,32.59
2006,3,31,32.41,32.51
2006,4,3,32.54,32.64
2006,4,4,32.43,32.53
2006,4,6,32.28,32.38
2006,4,7,32.28,32.38
2006,4,10,32.35,32.45
2006,4,11,32.4,32.5
2006,4,12,32.48,32.58
2006,4,13,32.44,32.54
2006,4,14,32.43,32.53
2006,4,17,32.41,32.51
2006,4,18,32.44,32.54
2006,4,19,32.36,32.46
2006,4,20,32.26,32.36
2006,4,21,32.26,32.36
2006,4,24,31.94,32.04
2006,4,25,31.94,32.04
2006,4,26,32.0,32.1
2006,4,27,31.87,31.97
2006,4,28,31.86,31.96
2006,5,2,31.72,31.82
2006,5,3,31.57,31.67
2006,5,4,31.64,31.74
2006,5,5,31.6,31.7
2006,5,8,31.33,31.43
2006,5,9,31.45,31.55
2006,5,10,31.29,31.39
2006,5,11,31.41,31.51
2006,5,12,31.35,31.45
2006,5,15,31.59,31.69
2006,5,16,31.76,31.86
2006,5,17,31.52,31.62
2006,5,18,31.8,31.9
2006,5,19,31.9,32.0
2006,5,22,32.09,32.19
2006,5,23,31.94,32.04
2006,5,24,31.96,32.06
2006,5,25,32.05,32.15
2006,5,26,31.99,32.09
2006,5,29,31.97,32.07
2006,5,30,31.97,32.07
2006,6,1,32.04,32.14
2006,6,2,32.03,32.13
2006,6,5,32.0,32.1
2006,6,6,32.01,32.11
2006,6,7,32.17,32.27
2006,6,8,32.46,32.56
2006,6,9,32.39,32.49
2006,6,12,32.49,32.59
2006,6,13,32.61,32.71
2006,6,14,32.54,32.64
2006,6,15,32.49,32.59
2006,6,16,32.43,32.53
2006,6,19,32.55,32.65
2006,6,20,32.55,32.65
2006,6,21,32.58,32.68
2006,6,22,32.59,32.69
2006,6,23,32.66,32.76
2006,6,26,32.68,32.78
2006,6,27,32.62,32.72
2006,6,28,32.6,32.7
2006,6,29,32.56,32.66
2006,6,30,32.33,32.43
2006,7,3,32.25,32.35
2006,7,4,32.19,32.29
2006,7,5,32.34,32.44
2006,7,6,32.41,32.51
2006,7,7,32.35,32.45
2006,7,10,32.29,32.39
2006,7,11,32.4,32.5
2006,7,12,32.44,32.54
2006,7,13,32.53,32.63
2006,7,14,32.64,32.74
2006,7,17,32.81,32.91
2006,7,18,32.81,32.91
2006,7,19,32.85,32.95
2006,7,20,32.69,32.79
2006,7,21,32.7,32.8
2006,7,24,32.81,32.91
2006,7,25,32.74,32.84
2006,7,26,32.8,32.9
2006,7,27,32.71,32.81
2006,7,28,32.74,32.84
