年,月,日,買進,賣出
2006,1,2,32.76,32.86
2006,2,3,32.04,32.14
2006,3,1,32.23,32.33
2006,4,3,32.54,32.64
2006,5,2,31.72,31.82
2006,6,1,32.04,32.14
2006,7,3,32.25,32.35
2006,8,1,32.77,32.87
2006,9,1,32.83,32.93
2006,10,2,33.08,33.18
2006,11,1,33.12,33.22
2006,12,1,32.32,32.42
2007,1,2,32.35,32.45
2007,2,1,32.81,32.91
2007,3,1,32.85,32.95
2007,4,2,33.05,33.15
2007,5,2,33.25,33.35
2007,6,1,32.98,33.08
2007,7,2,32.74,32.84
2007,8,1,32.83,32.93
2007,9,3,32.96,33.06
2007,10,1,32.53,32.63
2007,11,1,32.34,32.44
2007,12,3,32.25,32.35
2008,1,2,32.4,32.5
2008,2,1,32.06,32.16
2008,3,3,31.05,31.15
2008,4,1,30.26,30.36
2008,5,2,30.4,30.5
2008,6,2,30.16,30.26
2008,7,1,30.31,30.41
2008,8,1,30.63,30.73
2008,9,1,31.55,31.65
2008,10,1,32.0,32.1
2008,11,3,32.82,32.92
2008,12,1,33.3,33.4
2009,1,5,32.95,33.05
2009,2,2,33.7,33.8
2009,3,2,35.12,35.22
2009,4,1,33.78,33.88
2009,5,4,33.04,33.14
2009,6,1,32.32,32.42
2009,7,1,32.7201,32.8201
2009,8,3,32.7101,32.8101
2009,9,1,32.8,32.9
2009,10,1,32.2501,32.3501
2009,11,2,32.5,32.6
2009,12,1,32.1401,32.2401
2010,1,4,31.7501,31.8501
2010,2,1,31.9501,32.0501
2010,3,1,31.9901,32.0901
2010,4,1,31.7301,31.8301
2010,5,3,31.4601,31.5601
2010,6,1,32.3601,32.4601
2010,7,1,32.2401,32.3401
2010,8,2,31.7601,31.8601
2010,9,1,31.9801,32.0801
2010,10,1,31.0401,31.1401
2010,11,1,30.42,30.52
2010,12,1,30.38,30.48
2011,1,3,29.05,29.15
2011,2,1,28.98,29.08
2011,3,1,29.54,29.64
2011,4,1,29.22,29.32
2011,5,3,28.49,28.59
2011,6,1,28.5401,28.6401
2011,7,1,28.7101,28.8101
2011,8,1,28.7801,28.8801
2011,9,1,28.9001,29.0001
2011,10,3,30.5301,30.6301
2011,11,1,30.03,30.13
2011,12,1,30.08,30.18
2012,1,2,30.26,30.36
2012,2,1,29.61,29.71
2012,3,1,29.4,29.5
2012,4,2,29.44,29.54
2012,5,2,29.14,29.24
2012,6,1,29.86,29.96
2012,7,2,29.83,29.93
2012,8,1,29.92,30.02
2012,9,3,29.83,29.93
2012,10,1,29.27,29.37
2012,11,1,29.19,29.29
2012,12,3,29.02,29.12
2013,1,2,28.95,29.05
2013,2,1,29.55,29.65
